,,"Women ",,,"Men "
,,"Moderate Severe ",,,"Moderate ","Severe ","Any "
,"Mild anaemia ","anaemia anaemia ","Any anaemia ","Mild anaemia","anaemia ","anaemia ","anaemia "
"State ","(10.0-11.9 g/dl)1 ","(7.0-9.9 g/dl)(<7.0 g/dl)","(<12.0 g/dl)2 ","(12.0-12.9 g/dl)","(9.0-11.9 g/dl) ","(<9.0 g/dl)","(<13.0 g/dl)"
"3India ","38.6 ","15.0 "," 1.8 ","55.3 ","13.0 ","9.9 ","1.3 ","24.2 "
"North "
"Delhi  ","35.2 ","8.8 "," 0.2 ","44.3 ","10.5 ","6.8 ","0.4 ","17.8 "
"Haryana  ","37.6 ","16.7 "," 1.7 ","56.1 ","12.8 ","5.9 ","0.5 ","19.2 "
"Himachal Pradesh  ","31.6 ","10.5 "," 1.2 ","43.3 ","10.6 ","8.1 ","0.2 ","18.9 "
"Jammu &amp; Kashmir  ","37.3 ","13.1 "," 1.6 ","52.1 ","11.7 ","6.3 ","1.4 ","19.5 "
"Punjab  ","26.2 ","10.4 "," 1.4 ","38.0 ","6.6 ","5.5 ","1.5 ","13.6 "
"Rajasthan  ","35.2 ","15.4 "," 2.5 ","53.1 ","12.0 ","10.6 ","1.0 ","23.6 "
"Uttaranchal  ","40.4 ","13.3 "," 1.5 ","55.2 ","17.0 ","11.4 ","0.7 ","29.2 "
"Central "
"Chhattisgarh  ","39.9 ","15.7 "," 1.9 ","57.5 ","14.4 ","11.5 ","1.1 ","27.0 "
"Madhya Pradesh  ","40.8 ","14.1 "," 1.0 ","56.0 ","15.1 ","9.5 ","1.1 ","25.6 "
"Uttar Pradesh  ","35.1 ","13.2 "," 1.6 ","49.9 ","11.9 ","10.4 ","2.0 ","24.3 "
"East "
"Bihar  ","50.5 ","15.9 "," 1.0 ","67.4 ","19.7 ","13.2 ","1.4 ","34.3 "
"Jharkhand  ","49.6 ","18.6 "," 1.3 ","69.5 ","18.5 ","17.7 ","0.3 ","36.5 "
"Orissa  ","44.9 ","14.9 "," 1.5 ","61.2 ","17.3 ","15.4 ","1.2 ","33.9 "
"West Bengal  ","45.8 ","16.4 "," 1.0 ","63.2 ","18.3 ","13.3 ","0.7 ","32.3 "
"Northeast "
"Arunachal Pradesh  ","36.6 ","12.5 "," 1.6 ","50.6 ","13.8 ","13.0 ","1.2 ","28.0 "
"Assam  ","44.8 ","21.2 "," 3.4 ","69.5 ","18.9 ","17.9 ","2.9 ","39.6 "
"Manipur  ","30.1 ","5.1 "," 0.5 ","35.7 ","6.8 ","4.2 ","0.4 ","11.4 "
"Meghalaya  ","32.8 ","12.6 "," 1.8 ","47.2 ","15.7 ","20.4 ","0.7 ","36.7 "
"Mizoram  ","29.1 ","8.8 "," 0.7 ","38.6 ","10.0 ","9.0 ","0.3 ","19.4 "
"Sikkim  ","42.1 ","16.2 "," 1.7 ","60.0 ","11.6 ","12.2 ","1.3 ","25.0 "
"Tripura  ","49.0 ","14.8 "," 1.3 ","65.1 ","19.2 ","15.5 ","0.8 ","35.5 "
"West "
"Goa  ","29.6 ","7.8 "," 0.6 ","38.0 ","6.2 ","3.4 ","0.8 ","10.4 "
"Gujarat  ","36.2 ","16.5 "," 2.6 ","55.3 ","12.0 ","9.2 ","1.0 ","22.2 "
"Maharashtra  ","32.8 ","13.9 "," 1.7 ","48.4 ","10.1 ","5.9 ","0.8 ","16.8 "
"South "
"Andhra Pradesh  ","39.0 ","20.6 "," 3.3 ","62.9 ","12.0 ","9.5 ","1.8 ","23.3 "
"Karnataka  ","34.4 ","15.1 "," 2.0 ","51.5 ","9.5 ","7.6 ","1.9 ","19.1 "
"Kerala  ","25.8 ","6.5 "," 0.5 ","32.8 ","3.8 ","3.7 ","0.4 ","8.0 "
"Tamil Nadu ","37.4 ","13.6 "," 2.2 ","53.2 ","9.2 ","5.9 ","1.5 ","16.5 "
