,,,,"Body Mass Index (BMI)1 in kg/m2 "
,"Height ",,,"Thin Overweight/obese "
,"Percentage ",,,"17.0-18.4 <17.0 ≥25.0 25.0-29.9 "
,"below ","Mean ","18.5-24.9 ","<18.5 (mildly (moderately/(overweight (over- ≥30.0 "
"State ","145 cm ","BMI ","(normal) ","(total thin)thin) severely thin) or obese) weight) (obese) "
"India ","11.4 ","20.5 ","51.8 ","35.6 "," 19.7 ","  15.8 ","  12.6 ","  9.8 "," 2.8 "
"North "
"Delhi  ","6.9 ","22.9 ","58.7 ","14.8 "," 9.1 "," 5.8 "," 26.4 "," 18.6 "," 7.8 "
"Haryana  ","4.4 ","21.1 ","51.2 ","31.3 "," 16.8 "," 14.5 "," 17.4 "," 13.0 "," 4.4 "
"Himachal Pradesh  ","6.1 ","20.8 ","56.6 ","29.9 "," 16.7 "," 13.2 "," 13.5 "," 11.4 "," 2.1 "
"Jammu &amp; Kashmir  ","4.8 ","21.4 ","58.6 ","24.6 "," 15.5 "," 9.1 "," 16.7 "," 13.4 "," 3.3 "
"Punjab  ","4.5 ","22.9 ","51.2 ","18.9 "," 11.4 "," 7.5 "," 29.9 "," 20.8 "," 9.1 "
"Rajasthan  ","5.0 ","20.1 ","54.4 ","36.7 "," 21.5 "," 15.2 "," 8.9 "," 7.1 "," 1.8 "
"Uttaranchal  ","7.5 ","20.8 ","57.2 ","30.0 "," 18.3 "," 11.7 "," 12.8 "," 10.1 "," 2.7 "
"Central "
"Chhattisgarh  ","11.9 ","19.5 ","51.0 ","43.4 "," 24.4 "," 19.0 "," 5.6 "," 4.3 "," 1.3 "
"Madhya Pradesh  ","8.4 ","19.7 ","50.8 ","41.7 "," 22.8 "," 18.9 "," 7.6 "," 6.2 "," 1.4 "
"Uttar Pradesh  ","14.4 ","20.1 ","54.8 ","36.0 "," 21.1 "," 14.9 "," 9.2 "," 7.5 "," 1.7 "
"East "
"Bihar  ","15.9 ","19.4 ","50.4 ","45.1 "," 25.9 "," 19.2 "," 4.6 "," 4.0 "," 0.6 "
"Jharkhand  ","18.0 ","19.5 ","51.7 ","43.0 "," 25.0 "," 18.0 "," 5.4 "," 4.5 "," 0.9 "
"Orissa  ","13.1 ","19.7 ","52.0 ","41.4 "," 23.1 "," 18.3 "," 6.6 "," 5.5 "," 1.1 "
"West Bengal  ","14.3 ","20.2 ","49.6 ","39.1 "," 21.4 "," 17.6 "," 11.4 "," 9.4 "," 2.0 "
"Northeast "
"Arunachal Pradesh  ","13.3 ","21.1 ","74.8 ","16.4 "," 11.0 "," 5.4 "," 8.8 "," 7.7 "," 1.1 "
"Assam  ","15.8 ","20.0 ","55.7 ","36.5 "," 21.4 "," 15.2 "," 7.8 "," 6.9 "," 0.9 "
"Manipur  ","8.0 ","21.5 ","72.0 ","14.8 "," 11.6 "," 3.1 "," 13.3 "," 11.4 "," 1.9 "
"Meghalaya  ","21.6 ","21.0 ","80.1 ","14.6 "," 9.8 "," 4.8 "," 5.3 "," 4.5 "," 0.8 "
"Mizoram  ","9.2 ","21.2 ","75.0 ","14.4 "," 10.3 "," 4.1 "," 10.6 "," 9.4 "," 1.2 "
"Nagaland  ","7.0 ","20.8 ","76.2 ","17.4 "," 13.0 "," 4.4 "," 6.4 "," 5.7 "," 0.7 "
"Sikkim  ","12.0 ","22.1 ","73.5 ","11.2 "," 7.9 "," 3.2 "," 15.4 "," 12.4 "," 3.0 "
"Tripura  ","19.2 ","19.9 ","55.9 ","36.9 "," 20.8 "," 16.1 "," 7.1 "," 6.4 "," 0.7 "
"West "
"Goa  ","10.1 ","21.5 ","51.9 ","27.9 "," 13.4 "," 14.5 "," 20.2 "," 15.4 "," 4.8 "
"Gujarat  ","8.7 ","20.8 ","47.0 ","36.3 "," 17.7 "," 18.6 "," 16.7 "," 12.1 "," 4.6 "
"Maharashtra  ","10.6 ","20.6 ","49.3 ","36.2 "," 19.3 "," 17.0 "," 14.5 "," 10.9 "," 3.6 "
"South "
"Andhra Pradesh  ","12.1 ","20.9 ","50.9 ","33.5 "," 17.8 "," 15.6 "," 15.6 "," 11.5 "," 4.1 "
"Karnataka  ","9.9 ","20.7 ","49.2 ","35.5 "," 18.6 "," 16.9 "," 15.3 "," 11.6 "," 3.7 "
"Kerala  ","8.6 ","22.6 ","53.9 ","18.0 "," 9.6 "," 8.4 "," 28.1 "," 23.1 "," 5.0 "
"Tamil Nadu ","9.5 ","21.6 ","50.6 ","28.4 "," 14.9 "," 13.5 "," 20.9 "," 15.8 "," 5.1 "
