,"Height-for-age ",,"Weight-for-height ",,,"Weight-for-age "
,"Percent-Percent-Mean","Percent-","Percent-Percent-","Mean","Percent-","Percent-Percent-","Mean"
,"age below age below Z-score","age below ","age belowage above","Z-score","age below","age below age above","Z-score"
,"-3 SD -2 SD(SD) ","-3 SD ","-2 SD+2 SD ","(SD) ","-3 SD ","-2 SD+2 SD ","(SD) "
"State "
"India ","23.7 48.0 -1.9 ","6.4 ","19.8 1.5 ","-1.0 ","15.8 ","42.5 0.4 ","-1.8 "
"North "
"Delhi  ","20.4 42.2 -1.6 ","7.0 ","15.4 4.0 ","-0.5 ","8.7 ","26.1 1.0 ","-1.3 "
"Haryana  ","19.4 45.7 -1.8 ","5.0 ","19.1 1.4 ","-1.0 ","14.2 ","39.6 0.2 ","-1.7 "
"Himachal Pradesh  ","16.0 38.6 -1.5 ","5.5 ","19.3 1.1 ","-1.0 ","11.4 ","36.5 0.5 ","-1.6 "
"Jammu &amp; Kashmir  ","14.9 35.0 -1.3 ","4.4 ","14.8 2.3 ","-0.7 ","8.2 ","25.6 0.5 ","-1.3 "
"Punjab  ","17.3 36.7 -1.5 ","2.1 ","9.2 1.5 ","-0.5 ","8.0 ","24.9 0.5 ","-1.2 "
"Rajasthan  ","22.7 43.7 -1.7 ","7.3 ","20.4 1.6 ","-1.1 ","15.3 ","39.9 0.4 ","-1.7 "
"Uttaranchal  ","23.1 44.4 -1.8 ","5.3 ","18.8 2.3 ","-0.9 ","15.7 ","38.0 0.3 ","-1.7 "
"Central "
"Chhattisgarh  ","24.8 52.9 -2.0 ","5.6 ","19.5 1.3 ","-1.1 ","16.4 ","47.1 0.0 ","-1.9 "
"Madhya Pradesh  ","26.3 50.0 -2.0 ","12.6 ","35.0 1.0 ","-1.6 ","27.3 ","60.0 0.1 ","-2.3 "
"Uttar Pradesh  ","32.4 56.8 -2.2 ","5.1 ","14.8 1.2 ","-0.8 ","16.4 ","42.4 0.1 ","-1.8 "
"East "
"Bihar  ","29.1 55.6 -2.1 ","8.3 ","27.1 0.3 ","-1.4 ","24.1 ","55.9 0.1 ","-2.2 "
"Jharkhand  ","26.8 49.8 -1.9 ","11.8 ","32.3 0.6 ","-1.5 ","26.1 ","56.5 0.2 ","-2.2 "
"Orissa  ","19.6 45.0 -1.7 ","5.2 ","19.5 1.7 ","-1.0 ","13.4 ","40.7 0.5 ","-1.7 "
"West Bengal  ","17.8 44.6 -1.7 ","4.5 ","16.9 1.9 ","-0.9 ","11.1 ","38.7 0.5 ","-1.6 "
"Northeast "
"Arunachal Pradesh  ","21.7 43.3 -1.6 ","6.1 ","15.3 3.4 ","-0.7 ","11.1 ","32.5 0.6 ","-1.4 "
"Assam  ","20.9 46.5 -1.8 ","4.0 ","13.7 1.2 ","-0.8 ","11.4 ","36.4 0.3 ","-1.6 "
"Manipur  ","13.1 35.6 -1.4 ","2.1 ","9.0 2.2 ","-0.6 ","4.7 ","22.1 0.5 ","-1.2 "
"Meghalaya  ","29.8 55.1 -2.0 ","19.9 ","30.7 2.6 ","-1.2 ","27.7 ","48.8 0.2 ","-2.0 "
"Mizoram  ","17.7 39.8 -1.6 ","3.5 ","9.0 4.3 ","-0.3 ","5.4 ","19.9 1.2 ","-1.1 "
"Nagaland  ","19.3 38.8 -1.4 ","5.2 ","13.3 4.7 ","-0.5 ","7.1 ","25.2 0.8 ","-1.2 "
"Sikkim  ","17.9 38.3 -1.4 ","3.3 ","9.7 8.3 ","-0.1 ","4.9 ","19.7 1.3 ","-0.9 "
"Tripura  ","14.7 35.7 -1.5 ","8.6 ","24.6 2.2 ","-1.2 ","15.7 ","39.6 0.1 ","-1.7 "
"West "
"Goa  ","10.2 25.6 -1.1 ","5.6 ","14.1 4.3 ","-0.7 ","6.7 ","25.0 1.9 ","-1.1 "
"Gujarat  ","25.5 51.7 -2.0 ","5.8 ","18.7 1.2 ","-1.0 ","16.3 ","44.6 0.1 ","-1.8 "
"Maharashtra  ","19.1 46.3 -1.8 ","5.2 ","16.5 2.8 ","-0.9 ","11.9 ","37.0 0.9 ","-1.6 "
"South "
"Andhra Pradesh  ","18.7 42.7 -1.7 ","3.5 ","12.2 2.2 ","-0.7 ","9.9 ","32.5 0.6 ","-1.5 "
"Karnataka  ","20.5 43.7 -1.7 ","5.9 ","17.6 2.6 ","-1.0 ","12.8 ","37.6 0.5 ","-1.6 "
"Kerala  ","6.5 24.5 -1.1 ","4.1 ","15.9 1.2 ","-0.9 ","4.7 ","22.9 0.4 ","-1.2 "
"Tamil Nadu ","10.9 30.9 -1.1 ","8.9 ","22.2 3.6 ","-1.0 ","6.4 ","29.8 1.9 ","-1.3 "
