,"Anaemia status by haemoglobin level "
,"Mild "," Moderate ","Severe ","Any anaemia "
"State ",,,,
"India ","26.3 "," 40.2 "," 2.9 ","69.5 "
"North "
"Delhi  ","26.3 "," 30.0 "," 0.7 ","57.0 "
"Haryana  ","25.8 "," 42.2 "," 4.3 ","72.3 "
"Himachal Pradesh  ","25.7 "," 26.8 "," 2.2 ","54.7 "
"Jammu &amp; Kashmir  ","25.8 "," 30.4 "," 2.4 ","58.6 "
"Punjab  ","21.7 "," 38.1 "," 6.6 ","66.4 "
"Rajasthan  ","22.8 "," 40.2 "," 6.7 ","69.7 "
"Uttaranchal  ","28.5 "," 30.6 "," 2.3 ","61.4 "
"Central "
"Chhattisgarh  ","24.0 "," 45.2 "," 2.0 ","71.2 "
"Madhya Pradesh  ","27.1 "," 43.6 "," 3.4 ","74.1 "
"Uttar Pradesh  ","25.4 "," 45.0 "," 3.6 ","73.9 "
"East "
"Bihar  ","29.6 "," 46.8 "," 1.6 ","78.0 "
"Jharkhand  ","29.3 "," 39.1 "," 1.9 ","70.3 "
"Orissa  ","28.9 "," 34.5 "," 1.6 ","65.0 "
"West Bengal  ","30.0 "," 29.4 "," 1.5 ","61.0 "
"Northeast "
"Arunachal Pradesh  ","27.1 "," 29.1 "," 0.8 ","56.9 "
"Assam  ","28.7 "," 38.7 "," 2.2 ","69.6 "
"Manipur  ","25.6 "," 15.2 "," 0.3 ","41.1 "
"Meghalaya  ","31.7 "," 31.7 "," 1.0 ","64.4 "
"Mizoram  ","23.5 "," 20.0 "," 0.6 ","44.2 "
"Sikkim  ","28.9 "," 29.5 "," 0.8 ","59.2 "
"Tripura  ","27.5 "," 34.6 "," 0.7 ","62.9 "
"West "
"Goa  ","19.5 "," 17.1 "," 1.5 ","38.2 "
"Gujarat  ","25.0 "," 41.1 "," 3.6 ","69.7 "
"Maharashtra  ","21.9 "," 39.6 "," 1.8 ","63.4 "
"South "
"Andhra Pradesh  ","23.7 "," 43.5 "," 3.6 ","70.8 "
"Karnataka  ","28.6 "," 38.6 "," 3.2 ","70.4 "
"Kerala  ","23.5 "," 20.5 "," 0.5 ","44.5 "
"Tamil Nadu ","27.1 "," 34.6 "," 2.6 ","64.2 "
