"State","FatIntakeGmsPerDayPerCapitaRural","FatIntakeGmsPerDayPerCapitaUrban","FatIntakeGmsPerDayPerConsUnitRural","FatIntakeGmsPerDayPerConsUnitUrban"
"Andhra Pradesh ","44.7 ","50.7 ","55.4 ","62.1 "
"Assam ","28.6 ","36.9 ","34.8 ","44.7 "
"Bihar ","31.3 ","40.8 ","38.2 ","49.5 "
"Chhattisgarh ","28.1 ","43.6 ","34.4 ","53.7 "
"Gujarat ","60.5 ","68.5 ","74.5 ","84.4 "
"Haryana ","62.9 ","63.8 ","77.4 ","77.4 "
"Jharkhand ","30.4 ","44.5 ","37.1 ","54.1 "
"Karnataka ","46.4 ","51.8 ","57.5 ","63.7 "
"Kerala ","47.2 ","50.6 ","59.6 ","63.7 "
"Madhya Pradesh ","41.8 ","52.2 ","51.2 ","63.8 "
"Maharashtra ","55.7 ","60.9 ","69.4 ","74.7 "
"Orissa ","27.9 ","34.5 ","34.3 ","42.2 "
"Punjab ","65.8 ","68.9 ","81.3 ","84.1 "
"Rajasthan ","62.6 ","58.3 ","76.9 ","72.0 "
"Tamil Nadu ","42.1 ","49.4 ","52.1 ","61.3 "
"Uttar Pradesh ","40.3 ","45.7 ","50.0 ","55.7 "
"West Bengal ","32.9 ","43.0 ","40.2 ","52.8 "
"all-India ","43.1 ","53.0 ","53.1 ","65.0 "
