"State","ProteinIntakeGmsPerDayPerCapitaRural","ProteinIntakeGmsPerDayPerCapitaUrban","ProteinIntakeGmsPerDayPerConsUnitRural","ProteinIntakeGmsPerDayPerConsUnitUrban"
"Andhra Pradesh ","56.9 ","58.8 ","70.5 ","71.9 "
"Assam ","54.4 ","58.8 ","66.2 ","71.4 "
"Bihar ","57.6 ","62.4 ","70.2 ","75.7 "
"Chhattisgarh ","48.8 ","54.6 ","59.8 ","67.3 "
"Gujarat ","56.0 ","56.4 ","69.0 ","69.4 "
"Haryana ","70.7 ","64.5 ","86.9 ","78.3 "
"Jharkhand ","53.6 ","61.7 ","65.6 ","75.0 "
"Karnataka ","53.4 ","56.3 ","66.2 ","69.2 "
"Kerala ","59.0 ","59.9 ","74.6 ","75.4 "
"Madhya Pradesh ","62.7 ","59.0 ","76.7 ","72.1 "
"Maharashtra ","60.2 ","58.8 ","75.0 ","72.0 "
"Orissa ","54.5 ","58.0 ","67.1 ","70.8 "
"Punjab ","67.2 ","64.4 ","83.0 ","78.6 "
"Rajasthan ","71.4 ","63.7 ","87.7 ","78.8 "
"Tamil Nadu ","52.0 ","55.5 ","64.3 ","68.9 "
"Uttar Pradesh ","63.3 ","60.1 ","78.7 ","73.3 "
"West Bengal ","53.3 ","55.5 ","65.1 ","68.2 "
"All-India","59.3","58.8","73.1","72.1"
