"State","72-73","83","93-94","99-2000","04-05","09-10Sch1","01-10Sch2"
"Andhra Pradesh ","2103 ","2204 ","2052 ","2021 ","1995 ","2047 ","2204 "
"Assam ","2074 ","2056 ","1983 ","1915 ","2067 ","1974 ","2120 "
"Bihar ","2225 ","2189 ","2115 ","2121 ","2049 ","1931 ","2036 "
"Chhattisgarh ","- ","- ","- ","- ","1942 ","1926 ","2025 "
"Gujarat ","2142 ","2113 ","1994 ","1986 ","1923 ","1982 ","2046 "
"Haryana ","3215 ","2554 ","2491 ","2455 ","2226 ","2180 ","2310 "
"Jharkhand ","- ","- ","- ","- ","1961 ","1900 ","2051 "
"Karnataka ","2202 ","2260 ","2073 ","2028 ","1845 ","1903 ","2026 "
"Kerala ","1559 ","1884 ","1965 ","1982 ","2014 ","1964 ","2110 "
"Madhya Pradesh ","2423 ","2323 ","2164 ","2062 ","1929 ","1939 ","2087 "
"Maharashtra ","1895 ","2144 ","1939 ","2012 ","1933 ","2051 ","2179 "
"Orissa ","1995 ","2103 ","2199 ","2119 ","2023 ","2126 ","2271 "
"Punjab ","3493 ","2677 ","2418 ","2381 ","2240 ","2223 ","2308 "
"Rajasthan ","2730 ","2433 ","2470 ","2425 ","2180 ","2191 ","2350 "
"Tamil Nadu ","1955 ","1861 ","1884 ","1826 ","1842 ","1925 ","2046 "
"Uttar Pradesh ","2575 ","2399 ","2307 ","2327 ","2200 ","2064 ","2181 "
"Uttarakhand ","- ","- ","- ","- ","2160 ","2179 ","2271 "
"West Bengal ","1921 ","2027 ","2211 ","2095 ","2070 ","1927 ","2060 "
"all-India ","2266 ","2221 ","2153 ","2149 ","2047 ","2020 ","2147 "
