"State","72-73","83","93-94","99-2000","04-05","09-10Sch1","01-10Sch2"
"Andhra Pradesh ","2143 ","2009 ","1992 ","2052 ","2000 ","1975 ","2223 "
"Assam ","2135 ","2043 ","2108 ","2174 ","2143 ","2003 ","2176 "
"Bihar ","2167 ","2131 ","2188 ","2171 ","2190 ","2013 ","2213 "
"Chhattisgarh ","- ","- ","- ","- ","2087 ","1949 ","2096 "
"Gujarat ","2172 ","2000 ","2027 ","2058 ","1991 ","1983 ","2096 "
"Haryana ","2404 ","2242 ","2140 ","2172 ","2033 ","1940 ","2202 "
"Jharkhand ","- ","- ","- ","- ","2458 ","2046 ","2226 "
"Karnataka ","1925 ","2124 ","2026 ","2046 ","1944 ","1987 ","2115 "
"Kerala ","1723 ","2049 ","1966 ","1995 ","1996 ","1941 ","2118 "
"Madhya Pradesh ","2229 ","2137 ","2082 ","2132 ","1954 ","1854 ","2045 "
"Maharashtra ","1971 ","2028 ","1989 ","2039 ","1847 ","1901 ","2099 "
"Orissa ","2276 ","2219 ","2261 ","2298 ","2139 ","2096 ","2259 "
"Punjab ","2783 ","2100 ","2089 ","2197 ","2150 ","2062 ","2260 "
"Rajasthan ","2357 ","2255 ","2184 ","2335 ","2116 ","2014 ","2144 "
"Tamil Nadu ","1841 ","2140 ","1922 ","2030 ","1935 ","1963 ","2135 "
"Uttar Pradesh ","2161 ","2043 ","2114 ","2131 ","2124 ","1923 ","2072 "
"Uttarakhand ","- ","- ","- ","- ","2205 ","1984 ","2141 "
"West Bengal ","2080 ","2048 ","2131 ","2134 ","2011 ","1851 ","2027 "
"all-India ","2107 ","2089 ","2071 ","2156 ","2020 ","1946 ","2123 "
