"MPCE","PercExpenditureOnFood","PercExpenditureOnCereals","PerCapitaPerDayIntakeKCal","PerCapitaPerDayIntakeProtein","PerCapitaPerDayIntakeFat","PerConsUnitPerDayIntakeKCal","PerConsUnitPerDayIntakeProtein","PerConsUnitPerDayIntakeFat","NumHHS"
"01 ","62.5 ","21.8 ","1549 ","42.5 ","25.4 ","1913 ","52.5 ","31.4 ","4537 "
"02 ","59.1 ","17.8 ","1686 ","45.9 ","32.3 ","2082 ","56.7 ","39.9 ","3521 "
"03 ","56.4 ","15.8 ","1745 ","47.7 ","36.9 ","2145 ","58.7 ","45.4 ","3381 "
"04 ","54.1 ","14.3 ","1826 ","50.0 ","41.2 ","2248 ","61.5 ","50.7 ","3593 "
"05 ","51.1 ","13.2 ","1888 ","51.8 ","44.6 ","2317 ","63.6 ","54.7 ","3622 "
"06 ","49.0 ","11.6 ","1948 ","54.1 ","48.9 ","2385 ","66.2 ","59.9 ","3934 "
"07 ","46.4 ","10.4 ","2039 ","56.0 ","53.7 ","2487 ","68.3 ","65.5 ","4014 "
"08 ","43.4 ","9.1 ","2120 ","58.4 ","58.5 ","2577 ","71.0 ","71.1 ","4703 "
"09 ","39.1 ","7.4 ","2233 ","61.7 ","63.7 ","2724 ","75.3 ","77.8 ","5190 "
"10 ","25.4 ","3.6 ","2425 ","66.9 ","73.8 ","2965 ","81.8 ","90.2 ","5241 "
"all ","40.7 ","9.1 ","1946 ","53.5 ","47.9 ","2385 ","65.6 ","58.7 ","41736 "
