"State","PercExpenditureOnFood","PercExpenditureOnCereals","PerCapitaPerDayIntakeKCal","PerCapitaPerDayIntakeProtein","PerCapitaPerDayIntakeFat","PerConsUnitPerDayIntakeKCal","PerConsUnitPerDayIntakeProtein","PerConsUnitPerDayIntakeFat","NumHHS"
"Andhra Pradesh ","58.1 ","13.6 ","2204 ","56.9 ","44.7 ","2731 ","70.5 ","55.4 ","3924 "
"Assam ","64.4 ","20.7 ","2120 ","54.4 ","28.6 ","2579 ","66.2 ","34.8 ","2616 "
"Bihar ","64.7 ","21.3 ","2036 ","57.6 ","31.3 ","2481 ","70.2 ","38.2 ","3294 "
"Chhattisgarh ","58.2 ","15.4 ","2025 ","48.8 ","28.1 ","2484 ","59.8 ","34.4 ","1495 "
"Gujarat ","57.7 ","10.7 ","2046 ","56.0 ","60.5 ","2519 ","69.0 ","74.5 ","1720 "
"Haryana ","54.0 ","7.3 ","2310 ","70.7 ","62.9 ","2842 ","86.9 ","77.4 ","1440 "
"Jharkhand ","60.9 ","19.2 ","2051 ","53.6 ","30.4 ","2509 ","65.6 ","37.1 ","1758 "
"Karnataka ","56.5 ","12.3 ","2026 ","53.4 ","46.4 ","2514 ","66.2 ","57.5 ","2038 "
"Kerala ","45.9 ","8.0 ","2110 ","59.0 ","47.2 ","2666 ","74.6 ","59.6 ","2606 "
"Madhya Pradesh ","55.8 ","13.6 ","2087","62.7","41.8","2553","76.7","51.2 ","2734"
"Maharashtra ","54.0 ","11.3 ","2179 ","60.2 ","55.7 ","2714 ","75.0 ","69.4 ","4012 "
"Orissa ","61.9 ","18.6 ","2271 ","54.5 ","27.9 ","2796 ","67.1 ","34.3 ","2974 "
"Punjab ","48.2 ","6.9 ","2308 ","67.2 ","65.8 ","2851 ","83.0 ","81.3 ","1558 "
"Rajasthan ","54.8 ","12.0 ","2350 ","71.4 ","62.6 ","2884 ","87.7 ","76.9 ","2575 "
"Tamil Nadu ","54.7 ","9.0 ","2046 ","52.0 ","42.1 ","2532 ","64.3 ","52.1 ","3319 "
"Uttar Pradesh ","57.9 ","15.2 ","2181 ","63.3 ","40.3 ","2710 ","78.7 ","50.0 ","5908 "
"West Bengal ","63.4 ","18.3 ","2060 ","53.3 ","32.9 ","2516 ","65.1 ","40.2 ","3575 "
"ALL ","57.0 ","13.7 ","2147 ","59.3 ","43.1 ","2647 ","73.1 ","53.1 ","59097 "
